"Text","URL"
"Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years.","https://pec.ac.in/jobs/job-19-7-18/details"
"Description, Purpose and Guidelines of the Voyager Program","https://pec.ac.in/events/voyager-program-details"
"Dr. Sanjeev Kumar has received the India 2020 Top Cited Paper Award","https://pec.ac.in/events/dr-sanjeev-kumar-pec-india-2020-top-cited-paper-award"
"Online Short Term Course (STC) on Smart Functional Materials for Emerging Applications","https://pec.ac.in/events/online-short-term-course-stc-smart-functional-materials-emerging-applications"
"Webinar on ANSYS High Frequency Application in 5G Antenna","https://pec.ac.in/events/webinar-ansys-high-frequency-application-5g-antenna"
"Two Days Workshop on Advanced Functional Materials (WAFM-2020)","https://pec.ac.in/events/two-days-workshop-advanced-functional-materials-wafm-2020"
"Online Short Term Course on Nanotechnology for Electronic and Photonic Devices (NANODEV-2020)","https://pec.ac.in/events/online-short-term-course-nanotechnology-electronic-and-photonic-devices-nanodev-2020"
"Web Development & Programming the IoT","https://pec.ac.in/events/six-weeks-workshop-web-development-introduction-programming-internet-things-iot"
"Space Flight: Challenges & Opportunities","https://pec.ac.in/events/kalpana-chawla-memorial-lecture-national-seminar"
"Collaborations","https://pec.ac.in/coe/collaborations"
"Time Tables","https://pec.ac.in/current-students/time-tables"
"Examination","https://pec.ac.in/current-students/examination"
"Academic Calendar","https://pec.ac.in/academics/calendar"
"Library","https://pec.ac.in/library"
"Computer Centre","https://pec.ac.in/computer-centre"
"Sports","https://pec.ac.in/Sports"
"Hostels","https://pec.ac.in/hostels"
"Medical Facility","https://pec.ac.in/medical-facilities"
"Workshops","https://pec.ac.in/workshops"
"Multimedia","https://pec.ac.in/multimedia"
"Brochure & Prospectus","https://pec.ac.in/prospectus"
"Sexual Harassment Complaints","https://pec.ac.in/institute/sexual-harassment-complaints-committee"
"Website Credits","https://pec.ac.in/credits"
"Web Editor","https://pec.ac.in/web_editor"
"Anti-Ragging","https://pec.ac.in/anti-ragging"
"Privacy Statement","https://pec.ac.in/privacy-policy"
"Report Copyright Infringement","https://pec.ac.in/reporting-copyright-infringement"
"Url: 2","https://pec.ac.in/#main-content"
"Url: 3","https://pec.ac.in/institute/email-services"
"Skip to main content","https://pec.ac.in/institute/email-services#main-content"
"Top Stories","https://pec.ac.in/top-stories"
"PEC Anthem","https://pec.ac.in/pec-anthem"
"Rules, Guidelines & Forms","https://pec.ac.in/rules-guidelines-forms"
"Quick Links","https://pec.ac.in/institute/email-services#0"
"Url: 4","https://pec.ac.in/jobs"
"Skip to main content","https://pec.ac.in/jobs#main-content"
"Quick Links","https://pec.ac.in/jobs#0"
"Archive of Previous job Openings","https://pec.ac.in/jobs/archive"
"Url: 5","https://pec.ac.in/tenders"
"Skip to main content","https://pec.ac.in/tenders#main-content"
"Quick Links","https://pec.ac.in/tenders#0"
"Last Date","https://pec.ac.in/tenders?field_tenders_quotations_auction_value=&order=field_last_date&sort=asc"
"Download Tender","https://pec.ac.in/sites/default/files/uploads/tenders/tender_cc_7-9-20.pdf"
"Archive of Previous Tenders","https://pec.ac.in/tenders/archive"
"Url: 6","https://pec.ac.in/office-orders"
"Skip to main content","https://pec.ac.in/office-orders#main-content"
"Quick Links","https://pec.ac.in/office-orders#0"
"Download Office Order","https://pec.ac.in/sites/default/files/office_orders/notice-1-9-20.PDF"
"Download Office Order","https://pec.ac.in/sites/default/files/office_orders/office_order_1-9-2020.pdf"
"Url: 7","https://pec.ac.in/nirf-data-20"
"Skip to main content","https://pec.ac.in/nirf-data-20#main-content"
"Quick Links","https://pec.ac.in/nirf-data-20#0"
"Click Here to Download Data Submitted for Participation in National Institutional Ranking Framework (NIRF), India Rankings 2020","https://pec.ac.in/sites/default/files/uploads/nirf_2019-20.pdf"
"Url: 8","https://pec.ac.in/node/549"
"Skip to main content","https://pec.ac.in/node/549#main-content"
"RTI","https://pec.ac.in/rti"
"Quick Links","https://pec.ac.in/node/549#0"
"Right to information","https://pec.ac.in/sites/default/files/uploads/RTI_mandatory_Info_07-01-2020.pdf"
"Download the performa of Appeal","https://pec.ac.in/sites/default/files/uploads/rightinfo_12_form.pdf"
"Third party audit report of RTI compliance","https://pec.ac.in/sites/default/files/uploads/audit_report_rti.pdf"
"Url: 9","https://pec.ac.in/tnp/about-cell"
"Skip to main content","https://pec.ac.in/tnp/about-cell#main-content"
"Invitation","https://pec.ac.in/tnp/invitation"
"Message from the Director","https://pec.ac.in/tnp/message-director"
"Message from the Head","https://pec.ac.in/tnp/message-tpo"
"Placement Procedure","https://pec.ac.in/tnp/placement-procedure"
"Placement Policy","https://pec.ac.in/tnp/policy"
"Placement Statistics","https://pec.ac.in/tnp/placement-information"
"Why Recruit @ PEC?","https://pec.ac.in/tnp/why-recruit-pec"
"Downloads","https://pec.ac.in/tnp/downloads"
"Facilities for Recruiters","https://pec.ac.in/tnp/facilities-recruiters"
"Past Recruiters","https://pec.ac.in/past-recruiters"
"How to Reach PEC","https://pec.ac.in/how-reach-pec"
"Testimonials from Companies","https://pec.ac.in/tnp/testimonials"
"Student Placement Committee","https://pec.ac.in/node/370"
"Important Links","https://pec.ac.in/tpo/important-links"
"FAQ's","https://pec.ac.in/tnp/frequently-asked-questions"
"Contact Us","https://pec.ac.in/tnp/contact-us"
"Quick Links","https://pec.ac.in/tnp/about-cell#0"
"Url: 10","https://pec.ac.in/institute-functionaries"
"Skip to main content","https://pec.ac.in/institute-functionaries#main-content"
"Quick Links","https://pec.ac.in/institute-functionaries#0"
"Institute","https://pec.ac.in/institute-functionaries#tab1"
"Head of Departments","https://pec.ac.in/institute-functionaries#tab2"
"Deans & Associate Deans","https://pec.ac.in/institute-functionaries#tab3"
"Career Development and Guidance Cell","https://pec.ac.in/institute-functionaries#tab4"
"Head of Centers","https://pec.ac.in/institute-functionaries#tab5"
"Accounts Section","https://pec.ac.in/institute-functionaries#tab20"
"Chairpersons","https://pec.ac.in/institute-functionaries#tab6"
"Chief Wardens","https://pec.ac.in/institute-functionaries#tab7"
"Liaison Officers","https://pec.ac.in/institute-functionaries#tab8"
"Student Advisers","https://pec.ac.in/institute-functionaries#tab9"
"Other Activities","https://pec.ac.in/institute-functionaries#tab10"
"Committees","https://pec.ac.in/institute-functionaries#tab11"
"Coordinators","https://pec.ac.in/institute-functionaries#tab15"
"Clubs","https://pec.ac.in/institute-functionaries#tab12"
"Societies","https://pec.ac.in/institute-functionaries#tab14"
"Nodal Officers","https://pec.ac.in/institute-functionaries#tab16"
"Games","https://pec.ac.in/institute-functionaries#tab17"
"Url: 11","https://pec.ac.in/"
"Url: 12","https://pec.ac.in/institute"
"Skip to main content","https://pec.ac.in/institute#main-content"
"Quick Links","https://pec.ac.in/institute#0"
"Url: 13","https://pec.ac.in/history"
"Skip to main content","https://pec.ac.in/history#main-content"
"Quick Links","https://pec.ac.in/history#0"
"Url: 14","https://pec.ac.in/vision"
"Skip to main content","https://pec.ac.in/vision#main-content"
"Quick Links","https://pec.ac.in/vision#0"
"Url: 15","https://pec.ac.in/campus"
"Skip to main content","https://pec.ac.in/campus#main-content"
"Quick Links","https://pec.ac.in/campus#0"
"Url: 16","https://pec.ac.in/location"
"Skip to main content","https://pec.ac.in/location#main-content"
"Quick Links","https://pec.ac.in/location#0"
"Url: 17","https://pec.ac.in/all_events"
"Skip to main content","https://pec.ac.in/all_events#main-content"
"Quick Links","https://pec.ac.in/all_events#0"
"6th International Yoga Day","https://pec.ac.in/events/6th-international-yoga-day"
"A Case Study on Mitigating Traffic Congestion of Chandigarh - Nayagaon Stretch","https://pec.ac.in/events/case-study-mitigating-traffic-congestion-chandigarh-nayagaon-stretch"
"PEC Student Bagged ASCE Student Leadership Award","https://pec.ac.in/events/pec-student-bagged-asce-student-leadership-award"
"Swayam Sevika – Contactless Food & Medicine Delivery Bot","https://pec.ac.in/events/swayam-sevika-%E2%80%93-contactless-food-medicine-delivery-bot"
"PEC Stands up for the Cause of Blood Donation","https://pec.ac.in/events/pec-stands-cause-blood-donation"
"AICTE-ATAL Sponsored FDPs","https://pec.ac.in/events/aicte-atal-sponsored-fdps"
"TEQIP-III sponsored National Seminar on Recent Advances in Mathematical Modeling and their Applications in Engineering and Sciences","https://pec.ac.in/events/teqip-iii-sponsored-national-seminar-recent-advances-mathematical-modeling-and-their"
"Expert lecture on Social Entrepreneurship","https://pec.ac.in/events/expert-lecture-social-entrepreneurship"
"Expert lecture on IOT and Blockchain","https://pec.ac.in/events/expert-lecture-iot-and-blockchain"
"1","https://pec.ac.in/all_events#"
"2","https://pec.ac.in/all_events?page=1"
"3","https://pec.ac.in/all_events?page=2"
"4","https://pec.ac.in/all_events?page=3"
"5","https://pec.ac.in/all_events?page=4"
"6","https://pec.ac.in/all_events?page=5"
"7","https://pec.ac.in/all_events?page=6"
"8","https://pec.ac.in/all_events?page=7"
"9","https://pec.ac.in/all_events?page=8"
"Url: 18","https://pec.ac.in/balance-sheets"
"Skip to main content","https://pec.ac.in/balance-sheets#main-content"
"Quick Links","https://pec.ac.in/balance-sheets#0"
"Balance Sheet for the F.Y. 2018-19","https://pec.ac.in/sites/default/files/uploads/balance_sheet_pec_18-19.pdf"
"Balance Sheet for the F.Y. 2018-19","https://pec.ac.in/sites/default/files/uploads/balance_sheet_teqip_18-19.PDF"
"Balance Sheet for the F.Y. 2017-18","https://pec.ac.in/sites/default/files/uploads/balance_sheet_teqip_17-18.PDF"
"Url: 19","https://pec.ac.in/faculty-affairs"
"Skip to main content","https://pec.ac.in/faculty-affairs#main-content"
"Quick Links","https://pec.ac.in/faculty-affairs#0"
"Url: 20","https://pec.ac.in/institute/iqac-reports"
"Skip to main content","https://pec.ac.in/institute/iqac-reports#main-content"
"Quick Links","https://pec.ac.in/institute/iqac-reports#0"
"IQAC Annual Report 2011-12","https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_11-12.pdf"
"IQAC Annual Report 2013-14","https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_13-14.pdf"
"IQAC Annual Report 2014-15","https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_14-15.pdf"
"IQAC Annual Report 2015-16","https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_15-16.pdf"
"IQAC Annual Report 2016-17","https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_16-17.pdf"
"IQAC Annual Report 2017-18","https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_17-18.pdf"
"Url: 21","https://pec.ac.in/administration"
"Skip to main content","https://pec.ac.in/administration#main-content"
"Quick Links","https://pec.ac.in/administration#0"
"Url: 22","https://pec.ac.in/board-of-governors"
"Skip to main content","https://pec.ac.in/board-of-governors#main-content"
"Minutes of BOG Meetings","https://pec.ac.in/board-of-governors/minutes-bog-meetings"
"Quick Links","https://pec.ac.in/board-of-governors#0"
"Url: 23","https://pec.ac.in/chairman-bog"
"Skip to main content","https://pec.ac.in/chairman-bog#main-content"
"Quick Links","https://pec.ac.in/chairman-bog#0"
"Url: 24","https://pec.ac.in/director"
"Skip to main content","https://pec.ac.in/director#main-content"
"Quick Links","https://pec.ac.in/director#0"
"Url: 25","https://pec.ac.in/senate-members"
"Skip to main content","https://pec.ac.in/senate-members#main-content"
"Minutes of Senate Meetings","https://pec.ac.in/minutes-senate-meetings"
"Quick Links","https://pec.ac.in/senate-members#0"
"Url: 26","https://pec.ac.in/building-works-committee"
"Skip to main content","https://pec.ac.in/building-works-committee#main-content"
"Quick Links","https://pec.ac.in/building-works-committee#0"
"Url: 27","https://pec.ac.in/finance-committee"
"Skip to main content","https://pec.ac.in/finance-committee#main-content"
"Minutes of Finance Committee Meetings","https://pec.ac.in/minutes-finance-committee-meetings"
"Quick Links","https://pec.ac.in/finance-committee#0"
"Url: 28","https://pec.ac.in/grievance-redressal-committee"
"Skip to main content","https://pec.ac.in/grievance-redressal-committee#main-content"
"Quick Links","https://pec.ac.in/grievance-redressal-committee#0"
"Url: 29","https://pec.ac.in/minutes-meetings"
"Skip to main content","https://pec.ac.in/minutes-meetings#main-content"
"Quick Links","https://pec.ac.in/minutes-meetings#0"
"Url: 30","https://pec.ac.in/programmes"
"Skip to main content","https://pec.ac.in/programmes#main-content"
"Scholarship Office Orders & Sanction Orders","https://pec.ac.in/programmes/student-support/scholarship-office-orders-sanction-orders"
"Rules & Procedures","https://pec.ac.in/programmes/rules-procedures"
"Functionaries & Dealing Clerks","https://pec.ac.in/programmes/functionaries-dealing-clerks"
"List of Visiting Professor / Emeritus Professor","https://pec.ac.in/departments/visiting-emeritus-professors"
"Quick Links","https://pec.ac.in/programmes#0"
"Url: 31","https://pec.ac.in/programmes/ug/structure"
"Skip to main content","https://pec.ac.in/programmes/ug/structure#main-content"
"Quick Links","https://pec.ac.in/programmes/ug/structure#0"
"Aerospace Engineering (BATCH 2014-18)","https://pec.ac.in/programmes/ug/structure/aero-14-18"
"Aerospace Engineering (BATCH 2015-19)","https://pec.ac.in/programmes/ug/structure/aero-15-19"
"Aerospace Engineering","https://pec.ac.in/programmes/ug/structure/aero-syllabus"
"Civil Engineering (BATCH 2014-18)","https://pec.ac.in/programmes/ug/structure/civil-14-18"
"Civil Engineering (BATCH 2015-19)","https://pec.ac.in/programmes/ug/structure/civil-15-19"
"Civil Engineering","https://pec.ac.in/programmes/ug/structure/civil-syllabus"
"Computer Science & Engineering (BATCH 2014-18)","https://pec.ac.in/programmes/ug/structure/cse-14-18"
"Computer Science & Engineering (BATCH 2015-19)","https://pec.ac.in/programmes/ug/structure/cse-15-19"
"Computer Science & Engineering","https://pec.ac.in/programmes/ug/structure/cse-syllabus"
"Electrical Engineering (BATCH 2014-18)","https://pec.ac.in/programmes/ug/structure/electrical-14-18"
"Electrical Engineering (BATCH 2015-19)","https://pec.ac.in/programmes/ug/structure/electrical-15-19"
"Electrical Engineering","https://pec.ac.in/programmes/ug/structure/electrical-syllabus"
"Electronics Communication Engineering (BATCH 2014-18)","https://pec.ac.in/programmes/ug/structure/ece-14-18"
"Electronics Communication Engineering (BATCH 2015-19)","https://pec.ac.in/programmes/ug/structure/ece-15-19"
"Electronics & Communication Engineering","https://pec.ac.in/programmes/ug/structure/ece-syllabus"
"Mechanical Engineering (BATCH 2014-18)","https://pec.ac.in/programmes/ug/structure/mech-14-18"
"Mechanical Engineering (BATCH 2015-19)","https://pec.ac.in/programmes/ug/structure/mech-15-19"
"Mechanical Engineering","https://pec.ac.in/programmes/ug/structure/mech-syllabus"
"Materials & Metallurgical Engineering (BATCH 2014-18)","https://pec.ac.in/programmes/ug/structure/meta-14-18"
"Materials & Metallurgical Engineering (BATCH 2015-19)","https://pec.ac.in/programmes/ug/structure/meta-15-19"
"Materials & Metallurgical Engineering","https://pec.ac.in/programmes/ug/structure/meta-syllabus"
"Production & Industrial Engineering (2014-18)","https://pec.ac.in/programmes/ug/structure/prod-14-18"
"Url: 32","https://pec.ac.in/programmes/pg/structure"
"Skip to main content","https://pec.ac.in/programmes/pg/structure#main-content"
"Quick Links","https://pec.ac.in/programmes/pg/structure#0"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/civil-transport"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/civil-transport-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/civil-wr"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/civil-wr-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/civil-structure"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/civil-structure-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/cse"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/cse-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/cse-is"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/cse-is-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/electrical"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/electrical-syllabus"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/mech-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/electronics"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/electronics-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/electronics-vlsi"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/electronics-vlsi-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/metallurgy"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/metallurgy-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/production"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/production-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/industrial-design"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/industrial-design-syllabus"
"Url: 33","https://pec.ac.in/programmes/phd"
"Skip to main content","https://pec.ac.in/programmes/phd#main-content"
"PhD Performas","https://pec.ac.in/programmes/phd/performas"
"Ph.D. Scholars Enrolled","https://pec.ac.in/programmes/phd/ugc-phd-data"
"Quick Links","https://pec.ac.in/programmes/phd#0"
"PhD Rules effective from 2014 Onwards","https://pec.ac.in/sites/default/files/uploads/phd_rules.pdf"
"Url: 34","https://pec.ac.in/programmes/student-support"
"Skip to main content","https://pec.ac.in/programmes/student-support#main-content"
"Quick Links","https://pec.ac.in/programmes/student-support#0"
"Url: 35","https://pec.ac.in/programmes/accreditation"
"Skip to main content","https://pec.ac.in/programmes/accreditation#main-content"
"Quick Links","https://pec.ac.in/programmes/accreditation#0"
"Letter of Extension of Approval 2019-20","https://pec.ac.in/sites/default/files/uploads/EOA_Report_2019-20.PDF"
"Self Study Report (SSR) for First Cycle of Accreditation","https://pec.ac.in/sites/default/files/uploads/naac_ssr_pec.pdf"
"Url: 36","https://pec.ac.in/programmes/scholarships"
"Skip to main content","https://pec.ac.in/programmes/scholarships#main-content"
"Quick Links","https://pec.ac.in/programmes/scholarships#0"
"National Scholarship Portal","https://pec.ac.in/sites/default/files/attachments/nsp_notice.pdf"
"Scholarship Programme for Diaspora Children","https://pec.ac.in/sites/default/files/attachments/sdpc_notice.pdf"
"Scholarship Notice for Different Minority Communities","https://pec.ac.in/sites/default/files/attachments/scholarships_minority_communities_notice.pdf"
"Top Class Scheme for SC Candidates","https://pec.ac.in/sites/default/files/attachments/top_class_sc.pdf"
"Url: 37","https://pec.ac.in/iqac/aqar-reports"
"Skip to main content","https://pec.ac.in/iqac/aqar-reports#main-content"
"Minutes of Meetings","https://pec.ac.in/iqac/minutes-of-meetings"
"Coordinator","https://pec.ac.in/iqac/coordinator"
"Quick Links","https://pec.ac.in/iqac/aqar-reports#0"
"Download Report","https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2017-18.pdf"
"Download Report","https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2016-17.pdf"
"Download Report","https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2015-16.pdf"
"Download Report","https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2014-15.pdf"
"Download Report","https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2013-14.pdf"
"Download Report","https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2012-13.pdf"
"Download Report","https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2011-12.pdf"
"Download Report","https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2010-11.pdf"
"Url: 38","https://pec.ac.in/admissions"
"Skip to main content","https://pec.ac.in/admissions#main-content"
"B.Tech. Admissions","https://pec.ac.in/admissions/btech"
"M.Tech. Admissions","https://pec.ac.in/admissions/mtech"
"Ph.D Admissions","https://pec.ac.in/admissions/phd"
"Quick Links","https://pec.ac.in/admissions#0"
"Url: 39","https://pec.ac.in/academic-units"
"Skip to main content","https://pec.ac.in/academic-units#main-content"
"Quick Links","https://pec.ac.in/academic-units#0"
"Url: 40","https://pec.ac.in/departments"
"Skip to main content","https://pec.ac.in/departments#main-content"
"Quick Links","https://pec.ac.in/departments#0"
"Aerospace Engineering","https://pec.ac.in/aero"
"Applied Sciences","https://pec.ac.in/applied-sciences"
"Civil Engineering","https://pec.ac.in/civil"
"Computer Science & Engineering","https://pec.ac.in/cse"
"Electrical Engineering","https://pec.ac.in/ee"
"Electronics and Communication Engineering","https://pec.ac.in/ece"
"Mechanical Engineering","https://pec.ac.in/me"
"Metallurgical & Materials Engineering","https://pec.ac.in/metta"
"Production and Industrial Engineering","https://pec.ac.in/pie"
"Url: 41","https://pec.ac.in/centres"
"Skip to main content","https://pec.ac.in/centres#main-content"
"Quick Links","https://pec.ac.in/centres#0"
"Centre of Excellence in Industrial and Product Design","https://pec.ac.in/coe"
"Center of Excellence Siemens","https://pec.ac.in/sites/default/files/uploads/Siemens_CoE_PEC_compressed.pdf"
"Centre of Management and Humanities (CMH)","https://pec.ac.in/cmh"
"Centre for Total Quality Management and ZED","https://pec.ac.in/tqm-zed"
"Cyber Security Research Centre","https://pec.ac.in/cyber-security-research-centre"
"Kalpana Chawla Chair of Geospatial Technology (KCC GT)","https://pec.ac.in/institute/kalpana-chawla-chair"
"Url: 42","https://pec.ac.in/research/overview"
"Skip to main content","https://pec.ac.in/research/overview#main-content"
"Advance Manufacturing Lab","https://pec.ac.in/research/advance-manufacturing-lab"
"Quick Links","https://pec.ac.in/research/overview#0"
"Url: 43","https://pec.ac.in/research-groups"
"Skip to main content","https://pec.ac.in/research-groups#main-content"
"As Per UGC thrust areas","https://pec.ac.in/research-groups-ugc-thrust-areas"
"As Per Faculty Interests","https://pec.ac.in/research-groups-recent-interests-faculty"
"Quick Links","https://pec.ac.in/research-groups#0"
"Url: 44","https://pec.ac.in/sponsored-research"
"Skip to main content","https://pec.ac.in/sponsored-research#main-content"
"Quick Links","https://pec.ac.in/sponsored-research#0"
"Url: 45","https://pec.ac.in/house-projects"
"Skip to main content","https://pec.ac.in/house-projects#main-content"
"Quick Links","https://pec.ac.in/house-projects#0"
"Url: 46","https://pec.ac.in/consultancy"
"Skip to main content","https://pec.ac.in/consultancy#main-content"
"List of Consultancy Projects","https://pec.ac.in/list-consultancy-projects"
"Quick Links","https://pec.ac.in/consultancy#0"
"Url: 47","https://pec.ac.in/courses-and-conferences"
"Skip to main content","https://pec.ac.in/courses-and-conferences#main-content"
"Quick Links","https://pec.ac.in/courses-and-conferences#0"
"Url: 48","https://pec.ac.in/yrf/about-programme"
"Skip to main content","https://pec.ac.in/yrf/about-programme#main-content"
"Eligibility Criteria","https://pec.ac.in/yrf/eligibility-criteria"
"Benefits & Awards","https://pec.ac.in/yrf/benefits-awards"
"Selection Process","https://pec.ac.in/yrf/selection-process"
"Review Process","https://pec.ac.in/yrf/review-process"
"Apply for YRF","https://pec.ac.in/yrf/apply"
"Ongoing Projects","https://pec.ac.in/ongoing-projects"
"Information on Mentors & Guides","https://pec.ac.in/yrf/information-mentors-guides"
"Information on YRFs","https://pec.ac.in/yrf/information"
"Quick Links","https://pec.ac.in/yrf/about-programme#0"
"Url: 49","https://pec.ac.in/norms-and-forms"
"Skip to main content","https://pec.ac.in/norms-and-forms#main-content"
"Quick Links","https://pec.ac.in/norms-and-forms#0"
"In-house Projects","https://pec.ac.in/node/297"
"Consultancy & Testing Projects","https://pec.ac.in/node/298"
"Distribution of PDF and Incentive for Consultancy Testing Project","https://pec.ac.in/sites/default/files/uploads/distribution_pdf_cp_2020.pdf"
